
NCO=360, INT=1800, AHT=240, SVL=80, ASA=15, OPTIMUM_AGENTS=55

csv style output follows:

agents,occ,svl,asa

50,96,38.7145,83.3347
51,94.1176,52.6259,45.7152
52,92.3077,63.7055,27.9618
53,90.566,72.4516,18.074
54,88.8889,79.2914,12.0523
55,87.2727,84.5883,8.18403
56,85.7143,88.6485,5.61463
57,84.2105,91.7278,3.87151
58,82.7586,94.0375,2.67346
59,81.3559,95.7503,1.84398
60,80,97.0056,1.26784
61,78.6885,97.9146,0.867616
62,77.4194,98.5648,0.590226
63,76.1905,99.024,0.398762
64,75,99.3443,0.267345
65,73.8462,99.5649,0.177753
